amount,transaction_type,recipient,source_device,city,occurred_at,transaction_frequency_24h,is_new_device,home_city,fraud_type
5150.51,ODEME,Synthetic Recipient 39,iPhone 15 Pro,Ankara,2026-02-09T18:00:00Z,9,false,Ankara,PARA_AKLAMA
6581.52,ODEME,Synthetic Recipient 40,Web Browser,Izmir,2026-02-10T17:00:00Z,1,false,Izmir,TEMIZ
10292.89,ODEME,Synthetic Recipient 41,iPhone 15 Pro,Istanbul,2026-02-11T07:00:00Z,2,false,Istanbul,TEMIZ
949.64,ODEME,Synthetic Recipient 42,Samsung Galaxy,Ankara,2026-02-12T02:00:00Z,1,false,Ankara,TEMIZ
1508.15,CEKIM,Synthetic Recipient 43,Samsung Galaxy,Ankara,2026-02-13T05:00:00Z,4,false,Ankara,TEMIZ
19125.03,ODEME,Synthetic Recipient 44,iPhone 15 Pro,Izmir,2026-02-14T04:00:00Z,10,false,Izmir,TEMIZ
18125.82,TRANSFER,Synthetic Recipient 45,Android Phone,New York,2026-02-15T12:00:00Z,4,false,Berlin,TEMIZ
715.42,TRANSFER,Synthetic Recipient 46,Samsung Galaxy,Istanbul,2026-02-16T15:00:00Z,3,false,Istanbul,TEMIZ
779.21,CEKIM,Synthetic Recipient 47,Samsung Galaxy,Berlin,2026-02-17T12:00:00Z,1,false,Ankara,TEMIZ
1584.42,FATURA,Synthetic Recipient 48,New Android Device,London,2026-02-18T19:00:00Z,3,true,Izmir,TEMIZ
6701.70,TRANSFER,Synthetic Recipient 49,Web Browser,Istanbul,2026-02-19T00:00:00Z,6,false,Istanbul,TEMIZ
6200.39,FATURA,Synthetic Recipient 50,Web Browser,Berlin,2026-02-20T22:00:00Z,5,false,Berlin,HESAP_ELE_GECIRME
8737.02,FATURA,Synthetic Recipient 51,Web Browser,Berlin,2026-02-21T04:00:00Z,6,false,Berlin,TEMIZ
11684.61,TRANSFER,Synthetic Recipient 52,Samsung Galaxy,Izmir,2026-02-22T14:00:00Z,1,false,Izmir,TEMIZ
3042.73,FATURA,Synthetic Recipient 53,iPhone 15 Pro,Berlin,2026-02-23T10:00:00Z,1,false,Ankara,TEMIZ
14631.27,CEKIM,Synthetic Recipient 54,Unknown Web Browser,New York,2026-02-24T15:00:00Z,8,true,Izmir,TEMIZ
1154.77,TRANSFER,Synthetic Recipient 55,iPhone 15 Pro,Izmir,2026-02-25T13:00:00Z,3,false,Izmir,TEMIZ
2260.50,FATURA,Synthetic Recipient 56,Samsung Galaxy,Istanbul,2026-02-26T08:00:00Z,3,false,Istanbul,TEMIZ
4306.69,TRANSFER,Synthetic Recipient 57,Samsung Galaxy,Izmir,2026-02-27T17:00:00Z,1,false,Izmir,TEMIZ
18279.35,CEKIM,Synthetic Recipient 58,New Android Device,Ankara,2026-02-28T20:00:00Z,9,true,Ankara,CALINTI_KART
1709.51,FATURA,Synthetic Recipient 59,Web Browser,Ankara,2026-03-01T14:00:00Z,1,false,Ankara,TEMIZ
5559.33,FATURA,Synthetic Recipient 60,Samsung Galaxy,Izmir,2026-03-02T00:00:00Z,3,false,Izmir,TEMIZ
6478.26,FATURA,Synthetic Recipient 61,Android Phone,Berlin,2026-03-03T06:00:00Z,3,false,Berlin,TEMIZ
5105.35,TRANSFER,Synthetic Recipient 62,Web Browser,Ankara,2026-03-04T19:00:00Z,4,false,Ankara,PARA_AKLAMA
14041.97,FATURA,Synthetic Recipient 63,Samsung Galaxy,London,2026-03-05T15:00:00Z,3,false,Berlin,HESAP_ELE_GECIRME
1902.45,TRANSFER,Synthetic Recipient 64,New iPhone,Berlin,2026-03-06T14:00:00Z,2,true,Ankara,HESAP_ELE_GECIRME
5510.24,TRANSFER,Synthetic Recipient 65,Android Phone,Izmir,2026-03-07T01:00:00Z,1,false,Izmir,PARA_AKLAMA
2671.94,TRANSFER,Synthetic Recipient 66,Samsung Galaxy,Moscow,2026-03-08T10:00:00Z,5,false,Istanbul,PARA_AKLAMA
13046.02,ODEME,Synthetic Recipient 67,Unknown Web Browser,Paris,2026-03-09T22:00:00Z,4,true,Berlin,HESAP_ELE_GECIRME
31793.08,TRANSFER,Synthetic Recipient 68,Android Phone,Istanbul,2026-03-10T16:00:00Z,4,false,Istanbul,TEMIZ
10826.37,ODEME,Synthetic Recipient 69,New Android Device,Berlin,2026-03-11T09:00:00Z,2,true,Berlin,TEMIZ
5951.60,CEKIM,Synthetic Recipient 70,Web Browser,Paris,2026-03-12T11:00:00Z,2,false,Berlin,TEMIZ
3329.89,ODEME,Synthetic Recipient 00,Web Browser,Berlin,2026-03-13T16:00:00Z,6,false,Berlin,TEMIZ
9791.04,ODEME,Synthetic Recipient 01,New Android Device,Dubai,2026-03-14T06:00:00Z,3,true,Istanbul,TEMIZ
1053.02,FATURA,Synthetic Recipient 02,Web Browser,Izmir,2026-03-15T21:00:00Z,6,false,Izmir,TEMIZ
2924.86,CEKIM,Synthetic Recipient 03,New iPhone,Izmir,2026-03-16T16:00:00Z,4,true,Izmir,TEMIZ
3851.11,TRANSFER,Synthetic Recipient 04,Web Browser,Ankara,2026-03-17T07:00:00Z,1,false,Ankara,TEMIZ
2448.72,TRANSFER,Synthetic Recipient 05,Unknown Web Browser,Izmir,2026-03-18T15:00:00Z,1,true,Izmir,TEMIZ
1619.58,TRANSFER,Synthetic Recipient 06,Web Browser,Ankara,2026-03-19T06:00:00Z,3,false,Ankara,TEMIZ
8366.89,FATURA,Synthetic Recipient 07,Web Browser,Istanbul,2026-03-20T07:00:00Z,8,false,Istanbul,TEMIZ
185.34,TRANSFER,Synthetic Recipient 08,New iPhone,Berlin,2026-03-21T18:00:00Z,6,true,Berlin,TEMIZ
8636.69,CEKIM,Synthetic Recipient 09,Unknown Web Browser,Berlin,2026-03-22T00:00:00Z,1,true,Berlin,PARA_AKLAMA
3214.00,CEKIM,Synthetic Recipient 10,Web Browser,Izmir,2026-03-23T23:00:00Z,5,false,Izmir,TEMIZ
148063.71,TRANSFER,Synthetic Recipient 11,Web Browser,Paris,2026-03-24T11:00:00Z,8,false,Ankara,PARA_AKLAMA
11228.39,FATURA,Synthetic Recipient 12,Android Phone,Istanbul,2026-03-25T17:00:00Z,2,false,Istanbul,TEMIZ
46569.62,CEKIM,Synthetic Recipient 13,iPhone 15 Pro,Izmir,2026-03-26T14:00:00Z,6,false,Izmir,SUPHELI_DAVRANIS
10991.04,ODEME,Synthetic Recipient 14,Android Phone,Istanbul,2026-03-27T12:00:00Z,13,false,Istanbul,TEMIZ
444.23,TRANSFER,Synthetic Recipient 15,Web Browser,London,2026-03-28T09:00:00Z,5,false,Izmir,TEMIZ
218.52,TRANSFER,Synthetic Recipient 16,Web Browser,Istanbul,2026-03-29T13:00:00Z,4,false,Istanbul,TEMIZ
7341.28,FATURA,Synthetic Recipient 17,Android Phone,Berlin,2026-03-30T16:00:00Z,3,false,Berlin,TEMIZ
1596.08,FATURA,Synthetic Recipient 18,Samsung Galaxy,Moscow,2026-03-31T19:00:00Z,10,false,Izmir,TEMIZ
2762.14,TRANSFER,Synthetic Recipient 19,Web Browser,London,2026-04-01T15:00:00Z,2,false,Izmir,TEMIZ
783.98,ODEME,Synthetic Recipient 20,New Android Device,Istanbul,2026-04-02T02:00:00Z,8,true,Istanbul,TEMIZ
19463.94,TRANSFER,Synthetic Recipient 21,Samsung Galaxy,Berlin,2026-04-03T14:00:00Z,12,false,Berlin,TEMIZ
1207.61,ODEME,Synthetic Recipient 22,Samsung Galaxy,Istanbul,2026-04-04T19:00:00Z,1,false,Istanbul,TEMIZ
215.20,CEKIM,Synthetic Recipient 23,Unknown Web Browser,Izmir,2026-04-05T18:00:00Z,2,true,Izmir,TEMIZ
4488.12,TRANSFER,Synthetic Recipient 24,Android Phone,Berlin,2026-04-06T07:00:00Z,3,false,Izmir,PARA_AKLAMA
7085.40,ODEME,Synthetic Recipient 25,Android Phone,Istanbul,2026-04-07T02:00:00Z,2,false,Istanbul,TEMIZ
16779.51,CEKIM,Synthetic Recipient 26,iPhone 15 Pro,Izmir,2026-04-08T18:00:00Z,1,false,Izmir,TEMIZ
1013.72,ODEME,Synthetic Recipient 27,Samsung Galaxy,Berlin,2026-04-09T17:00:00Z,2,false,Berlin,TEMIZ
7375.12,ODEME,Synthetic Recipient 28,Web Browser,Istanbul,2026-04-10T00:00:00Z,10,false,Istanbul,TEMIZ
19221.81,ODEME,Synthetic Recipient 29,Samsung Galaxy,Berlin,2026-04-11T21:00:00Z,8,false,Istanbul,TEMIZ
1963.85,CEKIM,Synthetic Recipient 30,iPhone 15 Pro,Istanbul,2026-04-12T17:00:00Z,2,false,Istanbul,TEMIZ
5072.64,CEKIM,Synthetic Recipient 31,Android Phone,Berlin,2026-04-13T17:00:00Z,1,false,Istanbul,TEMIZ
77980.47,FATURA,Synthetic Recipient 32,New iPhone,Paris,2026-04-14T06:00:00Z,2,true,Istanbul,TEMIZ
2649.32,TRANSFER,Synthetic Recipient 33,Web Browser,Paris,2026-04-15T13:00:00Z,7,false,Berlin,TEMIZ
4618.91,ODEME,Synthetic Recipient 34,Android Phone,London,2026-04-16T22:00:00Z,3,false,Berlin,TEMIZ
5590.40,CEKIM,Synthetic Recipient 35,Unknown Web Browser,Berlin,2026-04-17T16:00:00Z,9,true,Berlin,SUPHELI_DAVRANIS
4773.06,FATURA,Synthetic Recipient 36,Web Browser,Paris,2026-04-18T23:00:00Z,2,false,Berlin,HESAP_ELE_GECIRME
5048.17,CEKIM,Synthetic Recipient 37,New Android Device,London,2026-04-19T16:00:00Z,2,true,Berlin,TEMIZ
20960.65,ODEME,Synthetic Recipient 38,iPhone 15 Pro,Istanbul,2026-04-20T15:00:00Z,7,false,Istanbul,TEMIZ
10559.51,FATURA,Synthetic Recipient 39,New iPhone,Istanbul,2026-04-21T00:00:00Z,1,true,Istanbul,HESAP_ELE_GECIRME
12969.63,FATURA,Synthetic Recipient 40,Android Phone,New York,2026-04-22T01:00:00Z,3,false,Istanbul,TEMIZ
5797.12,ODEME,Synthetic Recipient 41,iPhone 15 Pro,Berlin,2026-04-23T02:00:00Z,1,false,Berlin,TEMIZ
3775.62,TRANSFER,Synthetic Recipient 42,Web Browser,London,2026-04-24T18:00:00Z,3,false,Izmir,TEMIZ
675.83,ODEME,Synthetic Recipient 43,Unknown Web Browser,Izmir,2026-04-25T02:00:00Z,11,true,Izmir,TEMIZ
4494.94,ODEME,Synthetic Recipient 44,Android Phone,Istanbul,2026-04-26T14:00:00Z,4,false,Istanbul,TEMIZ
237.70,TRANSFER,Synthetic Recipient 45,Android Phone,Berlin,2026-04-27T16:00:00Z,2,false,Istanbul,HESAP_ELE_GECIRME
16229.50,CEKIM,Synthetic Recipient 46,Android Phone,Berlin,2026-04-28T11:00:00Z,12,false,Berlin,TEMIZ
6356.61,TRANSFER,Synthetic Recipient 47,Samsung Galaxy,Berlin,2026-04-29T01:00:00Z,2,false,Berlin,TEMIZ
2111.13,FATURA,Synthetic Recipient 48,iPhone 15 Pro,Dubai,2026-04-30T23:00:00Z,6,false,Berlin,SUPHELI_DAVRANIS
5567.71,ODEME,Synthetic Recipient 49,iPhone 15 Pro,Izmir,2026-05-01T07:00:00Z,3,false,Izmir,TEMIZ
5028.98,ODEME,Synthetic Recipient 50,Android Phone,Istanbul,2026-05-02T02:00:00Z,2,false,Istanbul,TEMIZ
1616.43,ODEME,Synthetic Recipient 51,Unknown Web Browser,Berlin,2026-05-03T14:00:00Z,3,true,Istanbul,TEMIZ
1977.41,CEKIM,Synthetic Recipient 52,Android Phone,Izmir,2026-05-04T15:00:00Z,1,false,Izmir,TEMIZ
11949.42,ODEME,Synthetic Recipient 53,Android Phone,Berlin,2026-05-05T20:00:00Z,5,false,Berlin,TEMIZ
7188.25,FATURA,Synthetic Recipient 54,Web Browser,Dubai,2026-05-06T08:00:00Z,3,false,Istanbul,HESAP_ELE_GECIRME
3353.38,TRANSFER,Synthetic Recipient 55,Samsung Galaxy,Istanbul,2026-05-07T13:00:00Z,3,false,Istanbul,TEMIZ
1824.54,TRANSFER,Synthetic Recipient 56,Android Phone,Istanbul,2026-05-08T21:00:00Z,15,false,Istanbul,TEMIZ
10856.16,ODEME,Synthetic Recipient 57,Samsung Galaxy,New York,2026-05-09T22:00:00Z,10,false,Izmir,TEMIZ
1188.43,ODEME,Synthetic Recipient 58,Android Phone,Paris,2026-05-10T11:00:00Z,5,false,Istanbul,TEMIZ
2903.05,ODEME,Synthetic Recipient 59,Web Browser,New York,2026-05-11T00:00:00Z,2,false,Berlin,TEMIZ
8432.13,ODEME,Synthetic Recipient 60,Android Phone,Izmir,2026-05-12T17:00:00Z,3,false,Izmir,TEMIZ
2677.18,ODEME,Synthetic Recipient 61,Android Phone,Istanbul,2026-05-13T19:00:00Z,1,false,Istanbul,TEMIZ
327.22,CEKIM,Synthetic Recipient 62,Web Browser,Moscow,2026-05-14T13:00:00Z,8,false,Berlin,HESAP_ELE_GECIRME
12639.69,FATURA,Synthetic Recipient 63,Web Browser,Berlin,2026-05-15T20:00:00Z,7,false,Berlin,SUPHELI_DAVRANIS
1585.74,ODEME,Synthetic Recipient 64,Web Browser,Istanbul,2026-05-16T12:00:00Z,3,false,Istanbul,TEMIZ
3566.25,CEKIM,Synthetic Recipient 65,iPhone 15 Pro,Moscow,2026-05-17T20:00:00Z,4,false,Izmir,TEMIZ
9604.43,ODEME,Synthetic Recipient 66,Web Browser,Ankara,2026-05-18T09:00:00Z,4,false,Ankara,TEMIZ
3178.24,ODEME,Synthetic Recipient 67,iPhone 15 Pro,Ankara,2026-05-19T21:00:00Z,3,false,Ankara,TEMIZ
1896.99,TRANSFER,Synthetic Recipient 68,Samsung Galaxy,Istanbul,2026-05-20T09:00:00Z,9,false,Istanbul,TEMIZ
3665.95,FATURA,Synthetic Recipient 69,Web Browser,Moscow,2026-05-21T05:00:00Z,10,false,Berlin,CALINTI_KART
18609.56,FATURA,Synthetic Recipient 70,Web Browser,Ankara,2026-05-22T22:00:00Z,1,false,Ankara,TEMIZ
1105.70,ODEME,Synthetic Recipient 00,Web Browser,Istanbul,2026-05-23T11:00:00Z,3,false,Istanbul,TEMIZ
4285.80,FATURA,Synthetic Recipient 01,Samsung Galaxy,Ankara,2026-05-24T20:00:00Z,3,false,Ankara,TEMIZ
2628.74,TRANSFER,Synthetic Recipient 02,New Android Device,Dubai,2026-05-25T19:00:00Z,8,true,Izmir,TEMIZ
12674.04,FATURA,Synthetic Recipient 03,Android Phone,Izmir,2026-05-26T10:00:00Z,5,false,Izmir,TEMIZ
5811.80,ODEME,Synthetic Recipient 04,Unknown Web Browser,Istanbul,2026-05-27T02:00:00Z,4,true,Istanbul,CALINTI_KART
4431.02,CEKIM,Synthetic Recipient 05,New iPhone,Ankara,2026-05-28T06:00:00Z,5,true,Ankara,TEMIZ
2146.96,FATURA,Synthetic Recipient 06,iPhone 15 Pro,Istanbul,2026-05-29T21:00:00Z,3,false,Istanbul,TEMIZ
2227.69,TRANSFER,Synthetic Recipient 07,iPhone 15 Pro,Istanbul,2026-05-30T05:00:00Z,3,false,Istanbul,TEMIZ
1496.88,FATURA,Synthetic Recipient 08,Android Phone,Ankara,2026-05-31T15:00:00Z,1,false,Ankara,TEMIZ
4786.35,CEKIM,Synthetic Recipient 09,Android Phone,Berlin,2026-06-01T13:00:00Z,8,false,Berlin,TEMIZ
2955.80,FATURA,Synthetic Recipient 10,Web Browser,Istanbul,2026-06-02T00:00:00Z,7,false,Istanbul,TEMIZ
2981.89,ODEME,Synthetic Recipient 11,Web Browser,New York,2026-06-03T09:00:00Z,3,false,Istanbul,PARA_AKLAMA
3379.22,TRANSFER,Synthetic Recipient 12,Web Browser,Berlin,2026-06-04T15:00:00Z,5,false,Berlin,TEMIZ
1180.92,TRANSFER,Synthetic Recipient 13,Android Phone,New York,2026-06-05T04:00:00Z,1,false,Istanbul,TEMIZ
3687.69,ODEME,Synthetic Recipient 14,Web Browser,Berlin,2026-06-06T02:00:00Z,15,false,Berlin,TEMIZ
2493.19,CEKIM,Synthetic Recipient 15,Web Browser,Izmir,2026-06-07T21:00:00Z,3,false,Izmir,TEMIZ
5325.52,CEKIM,Synthetic Recipient 16,iPhone 15 Pro,Izmir,2026-06-08T14:00:00Z,7,false,Izmir,TEMIZ
1268.09,TRANSFER,Synthetic Recipient 17,iPhone 15 Pro,Ankara,2026-06-09T05:00:00Z,5,false,Ankara,TEMIZ
12734.69,ODEME,Synthetic Recipient 18,Samsung Galaxy,Dubai,2026-06-10T15:00:00Z,2,false,Berlin,TEMIZ
2929.29,FATURA,Synthetic Recipient 19,Samsung Galaxy,Ankara,2026-06-11T20:00:00Z,5,false,Ankara,TEMIZ
2102.99,TRANSFER,Synthetic Recipient 20,Web Browser,Berlin,2026-06-12T07:00:00Z,6,false,Berlin,TEMIZ
6618.24,TRANSFER,Synthetic Recipient 21,New iPhone,Berlin,2026-06-13T00:00:00Z,3,true,Berlin,TEMIZ
1958.23,FATURA,Synthetic Recipient 22,iPhone 15 Pro,Izmir,2026-06-14T17:00:00Z,8,false,Izmir,TEMIZ
8129.13,FATURA,Synthetic Recipient 23,Samsung Galaxy,Paris,2026-06-15T15:00:00Z,9,false,Izmir,TEMIZ
11403.39,TRANSFER,Synthetic Recipient 24,Web Browser,Ankara,2026-06-16T21:00:00Z,5,false,Ankara,TEMIZ
8065.71,TRANSFER,Synthetic Recipient 25,Android Phone,Berlin,2026-06-17T10:00:00Z,5,false,Berlin,TEMIZ
10388.37,TRANSFER,Synthetic Recipient 26,Android Phone,Izmir,2026-06-18T07:00:00Z,8,false,Izmir,TEMIZ
37674.61,ODEME,Synthetic Recipient 27,New iPhone,Berlin,2026-06-19T09:00:00Z,3,true,Berlin,TEMIZ
2610.04,TRANSFER,Synthetic Recipient 28,Samsung Galaxy,London,2026-06-20T23:00:00Z,6,false,Ankara,TEMIZ
16299.24,TRANSFER,Synthetic Recipient 29,Android Phone,Ankara,2026-06-21T08:00:00Z,14,false,Ankara,TEMIZ
872.92,TRANSFER,Synthetic Recipient 30,Web Browser,Istanbul,2026-06-22T00:00:00Z,6,false,Istanbul,TEMIZ
968.34,ODEME,Synthetic Recipient 31,Web Browser,Istanbul,2026-06-23T09:00:00Z,2,false,Istanbul,TEMIZ
1776.12,ODEME,Synthetic Recipient 32,Web Browser,Ankara,2026-06-24T14:00:00Z,1,false,Ankara,TEMIZ
1607.04,FATURA,Synthetic Recipient 33,Unknown Web Browser,Berlin,2026-06-25T22:00:00Z,2,true,Istanbul,TEMIZ
1565.63,ODEME,Synthetic Recipient 34,Web Browser,Istanbul,2026-06-26T19:00:00Z,8,false,Istanbul,TEMIZ
3570.04,TRANSFER,Synthetic Recipient 35,Unknown Web Browser,Istanbul,2026-06-27T21:00:00Z,1,true,Istanbul,HESAP_ELE_GECIRME
7364.01,CEKIM,Synthetic Recipient 36,Android Phone,Izmir,2026-06-28T22:00:00Z,2,false,Izmir,TEMIZ
125.53,ODEME,Synthetic Recipient 37,Android Phone,Istanbul,2026-06-29T18:00:00Z,4,false,Istanbul,TEMIZ
4180.54,TRANSFER,Synthetic Recipient 38,iPhone 15 Pro,Izmir,2026-01-01T03:00:00Z,8,false,Izmir,TEMIZ
5198.37,TRANSFER,Synthetic Recipient 39,iPhone 15 Pro,Berlin,2026-01-02T20:00:00Z,9,false,Berlin,TEMIZ
3147.14,TRANSFER,Synthetic Recipient 40,Android Phone,Istanbul,2026-01-03T23:00:00Z,2,false,Istanbul,TEMIZ
6224.64,ODEME,Synthetic Recipient 41,Android Phone,Paris,2026-01-04T09:00:00Z,2,false,Istanbul,TEMIZ
1985.49,ODEME,Synthetic Recipient 42,iPhone 15 Pro,Istanbul,2026-01-05T05:00:00Z,2,false,Istanbul,TEMIZ
1313.08,CEKIM,Synthetic Recipient 43,iPhone 15 Pro,Dubai,2026-01-06T01:00:00Z,3,false,Istanbul,TEMIZ
1336.63,CEKIM,Synthetic Recipient 44,Android Phone,Ankara,2026-01-07T10:00:00Z,1,false,Ankara,TEMIZ
4327.03,TRANSFER,Synthetic Recipient 45,iPhone 15 Pro,London,2026-01-08T12:00:00Z,4,false,Izmir,TEMIZ
2772.05,ODEME,Synthetic Recipient 46,Web Browser,Istanbul,2026-01-09T15:00:00Z,3,false,Istanbul,TEMIZ
896.09,TRANSFER,Synthetic Recipient 47,Web Browser,New York,2026-01-10T04:00:00Z,5,false,Izmir,TEMIZ
6569.62,ODEME,Synthetic Recipient 48,Unknown Web Browser,Dubai,2026-01-11T06:00:00Z,2,true,Izmir,TEMIZ
9980.58,ODEME,Synthetic Recipient 49,Samsung Galaxy,Izmir,2026-01-12T03:00:00Z,4,false,Izmir,TEMIZ
3649.94,ODEME,Synthetic Recipient 50,Samsung Galaxy,Ankara,2026-01-13T00:00:00Z,1,false,Ankara,TEMIZ
2866.85,ODEME,Synthetic Recipient 51,New Android Device,Izmir,2026-01-14T12:00:00Z,7,true,Izmir,TEMIZ
22300.55,FATURA,Synthetic Recipient 52,Samsung Galaxy,New York,2026-01-15T17:00:00Z,5,false,Ankara,TEMIZ
9350.86,ODEME,Synthetic Recipient 53,iPhone 15 Pro,Izmir,2026-01-16T03:00:00Z,2,false,Izmir,TEMIZ
15913.61,CEKIM,Synthetic Recipient 54,Samsung Galaxy,Izmir,2026-01-17T14:00:00Z,1,false,Izmir,TEMIZ
1392.34,TRANSFER,Synthetic Recipient 55,Web Browser,Istanbul,2026-01-18T00:00:00Z,2,false,Istanbul,TEMIZ
7851.42,TRANSFER,Synthetic Recipient 56,iPhone 15 Pro,Istanbul,2026-01-19T09:00:00Z,1,false,Istanbul,TEMIZ
25362.63,FATURA,Synthetic Recipient 57,Web Browser,Berlin,2026-01-20T16:00:00Z,3,false,Berlin,SUPHELI_DAVRANIS
38485.39,ODEME,Synthetic Recipient 58,Web Browser,Berlin,2026-01-21T20:00:00Z,10,false,Berlin,TEMIZ
10262.95,FATURA,Synthetic Recipient 59,Android Phone,Ankara,2026-01-22T19:00:00Z,2,false,Ankara,TEMIZ
6464.59,ODEME,Synthetic Recipient 60,New iPhone,Berlin,2026-01-23T05:00:00Z,5,true,Istanbul,TEMIZ
975.59,TRANSFER,Synthetic Recipient 61,Samsung Galaxy,Dubai,2026-01-24T17:00:00Z,5,false,Izmir,TEMIZ
